2025-12-05 21:23:04 | khan92 | chrome | 3.0 | 0.8
2025-12-05 21:23:04 | khan92 | chrome | 3.0 | 1.1
2025-12-05 21:23:04 | khan92 | chrome | 1.9 | 1.0
2025-12-05 21:23:04 | khan92 | chrome | 1.7 | 0.9
2025-12-05 21:23:04 | khan92 | code | 1.7 | 2.6
2025-12-05 21:23:34 | khan92 | ps | 100 | 0.0
2025-12-05 21:23:34 | khan92 | gnome-shell | 74.3 | 2.7
2025-12-05 21:23:34 | khan92 | chrome | 59.8 | 0.9
2025-12-05 21:23:34 | khan92 | chrome | 10.8 | 4.5
2025-12-05 21:23:34 | khan92 | chrome | 9.8 | 2.8
2025-12-05 21:23:34 | khan92 | code | 9.4 | 2.6
2025-12-05 21:23:34 | khan92 | chrome | 5.5 | 0.9
2025-12-05 21:23:34 | khan92 | code | 5.1 | 0.9
2025-12-05 21:23:34 | khan92 | chrome | 2.9 | 1.3
2025-12-05 21:23:34 | khan92 | chrome | 2.1 | 0.8
2025-12-05 21:24:04 | khan92 | ps | 100 | 0.0
2025-12-05 21:24:04 | khan92 | gnome-shell | 79.7 | 2.8
2025-12-05 21:24:04 | khan92 | chrome | 33.9 | 4.1
2025-12-05 21:24:04 | khan92 | chrome | 15.6 | 1.2
2025-12-05 21:24:04 | khan92 | chrome | 13.1 | 0.8
2025-12-05 21:24:04 | khan92 | code | 9.3 | 2.6
2025-12-05 21:24:04 | khan92 | chrome | 7.7 | 2.7
2025-12-05 21:24:04 | khan92 | code | 5.1 | 0.9
2025-12-05 21:24:04 | khan92 | chrome | 1.7 | 0.8
2025-12-05 21:24:04 | khan92 | code | 1.6 | 2.6
2025-12-05 21:24:34 | khan92 | gnome-shell | 82.2 | 2.9
2025-12-05 21:24:34 | khan92 | chrome | 40.8 | 3.9
2025-12-05 21:24:34 | khan92 | chrome | 18.0 | 1.3
2025-12-05 21:24:34 | khan92 | code | 9.2 | 2.6
2025-12-05 21:24:34 | khan92 | chrome | 7.4 | 0.8
2025-12-05 21:24:34 | khan92 | chrome | 6.6 | 2.8
2025-12-05 21:24:34 | khan92 | code | 5.0 | 0.9
2025-12-05 21:24:34 | khan92 | code | 1.6 | 2.6
2025-12-05 21:24:34 | khan92 | chrome | 1.4 | 0.8
2025-12-05 21:24:34 | root | kworker/u48:2-e | 1.2 | 0.0
2025-12-05 21:25:04 | khan92 | ps | 100 | 0.0
2025-12-05 21:25:04 | khan92 | gnome-shell | 81.7 | 2.9
2025-12-05 21:25:04 | khan92 | chrome | 36.9 | 3.0
2025-12-05 21:25:04 | khan92 | chrome | 16.3 | 1.3
2025-12-05 21:25:04 | khan92 | code | 9.1 | 2.6
2025-12-05 21:25:04 | khan92 | chrome | 5.8 | 2.7
2025-12-05 21:25:04 | khan92 | chrome | 5.4 | 0.8
2025-12-05 21:25:04 | khan92 | code | 5.1 | 0.9
2025-12-05 21:25:04 | khan92 | code | 1.5 | 2.6
2025-12-05 21:25:04 | khan92 | chrome | 1.3 | 0.8
2025-12-05 21:25:35 | khan92 | gnome-shell | 82.2 | 3.0
2025-12-05 21:25:35 | khan92 | chrome | 35.3 | 1.6
2025-12-05 21:25:35 | khan92 | chrome | 15.5 | 1.1
2025-12-05 21:25:35 | khan92 | code | 9.1 | 2.7
2025-12-05 21:25:35 | khan92 | chrome | 5.6 | 2.7
2025-12-05 21:25:35 | khan92 | code | 5.1 | 1.0
2025-12-05 21:25:35 | khan92 | chrome | 4.6 | 0.9
2025-12-05 21:25:35 | khan92 | chrome | 2.3 | 1.2
2025-12-05 21:25:35 | khan92 | code | 1.5 | 2.6
2025-12-05 21:25:35 | khan92 | chrome | 1.4 | 0.8
2025-12-05 21:26:05 | khan92 | ps | 200 | 0.0
2025-12-05 21:26:05 | khan92 | gnome-shell | 82.6 | 2.9
2025-12-05 21:26:05 | khan92 | chrome | 13.3 | 1.1
2025-12-05 21:26:05 | khan92 | code | 9.3 | 2.8
2025-12-05 21:26:05 | khan92 | code | 5.3 | 1.0
2025-12-05 21:26:05 | khan92 | chrome | 4.9 | 2.7
2025-12-05 21:26:05 | khan92 | code | 1.5 | 2.6
2025-12-05 21:26:05 | khan92 | chrome | 1.2 | 0.8
2025-12-05 21:26:05 | khan92 | code | 1.0 | 1.2
2025-12-05 21:26:05 | khan92 | Xwayland | 0.9 | 0.6
2025-12-05 21:26:35 | khan92 | ps | 200 | 0.0
2025-12-05 21:26:35 | khan92 | gnome-shell | 83.5 | 2.9
2025-12-05 21:26:35 | khan92 | chrome | 16.0 | 2.0
2025-12-05 21:26:35 | khan92 | chrome | 15.2 | 2.0
2025-12-05 21:26:35 | khan92 | chrome | 12.9 | 1.2
2025-12-05 21:26:35 | khan92 | chrome | 11.3 | 0.9
2025-12-05 21:26:35 | khan92 | chrome | 9.7 | 1.3
2025-12-05 21:26:35 | khan92 | code | 9.2 | 2.6
2025-12-05 21:26:35 | khan92 | chrome | 7.8 | 2.8
2025-12-05 21:26:35 | khan92 | code | 5.3 | 0.9
2025-12-05 21:27:05 | khan92 | gnome-shell | 85.8 | 3.0
2025-12-05 21:27:05 | khan92 | chrome | 19.7 | 2.1
2025-12-05 21:27:05 | khan92 | chrome | 13.6 | 1.3
2025-12-05 21:27:05 | khan92 | chrome | 12.1 | 2.0
2025-12-05 21:27:05 | khan92 | code | 9.1 | 2.6
2025-12-05 21:27:05 | khan92 | chrome | 8.4 | 1.9
2025-12-05 21:27:05 | khan92 | chrome | 7.6 | 2.8
2025-12-05 21:27:05 | khan92 | chrome | 6.1 | 0.8
2025-12-05 21:27:05 | khan92 | code | 5.3 | 0.9
2025-12-05 21:27:05 | khan92 | chrome | 1.7 | 0.9
2025-12-05 21:27:35 | khan92 | gnome-shell | 84.3 | 3.0
2025-12-05 21:27:35 | khan92 | chrome | 12.6 | 1.2
2025-12-05 21:27:35 | khan92 | chrome | 12.1 | 1.9
2025-12-05 21:27:35 | khan92 | chrome | 9.1 | 1.9
2025-12-05 21:27:35 | khan92 | code | 9.0 | 2.6
2025-12-05 21:27:35 | khan92 | chrome | 7.1 | 2.8
2025-12-05 21:27:35 | khan92 | chrome | 6.5 | 1.7
2025-12-05 21:27:35 | khan92 | code | 5.3 | 0.9
2025-12-05 21:27:35 | khan92 | chrome | 4.1 | 0.8
2025-12-05 21:27:35 | khan92 | chrome | 1.5 | 0.9
2025-12-05 21:28:05 | khan92 | ps | 100 | 0.0
2025-12-05 21:28:05 | khan92 | gnome-shell | 83.3 | 3.0
2025-12-05 21:28:05 | khan92 | chrome | 11.9 | 1.2
2025-12-05 21:28:05 | khan92 | chrome | 11.4 | 2.3
2025-12-05 21:28:05 | khan92 | code | 9.0 | 2.6
2025-12-05 21:28:05 | khan92 | chrome | 8.7 | 1.5
2025-12-05 21:28:05 | khan92 | chrome | 6.9 | 2.7
2025-12-05 21:28:05 | khan92 | code | 5.3 | 0.9
2025-12-05 21:28:05 | khan92 | chrome | 5.0 | 1.7
2025-12-05 21:28:05 | khan92 | chrome | 3.6 | 0.9
2025-12-05 21:28:35 | khan92 | gnome-shell | 82.2 | 3.0
2025-12-05 21:28:35 | khan92 | chrome | 11.3 | 1.3
2025-12-05 21:28:35 | khan92 | chrome | 10.1 | 2.2
2025-12-05 21:28:35 | khan92 | code | 9.0 | 2.6
2025-12-05 21:28:35 | khan92 | chrome | 6.7 | 1.5
2025-12-05 21:28:35 | khan92 | chrome | 6.4 | 2.7
